time	%usr	%sys	%wio	%idle	%peak	%aver
03:00	0.00	0.00	0.00	100.00	0.00	0.00
03:05	0.00	0.00	0.00	100.00	0.00	0.00
03:10	0.00	0.00	0.00	100.00	0.00	0.00
03:15	0.00	0.00	0.00	100.00	0.00	0.00
03:20	0.00	0.00	0.00	100.00	0.00	0.00
03:25	0.00	0.00	0.00	100.00	0.00	0.00
03:30	0.00	0.00	0.00	100.00	0.00	0.00
03:35	0.00	0.00	0.00	100.00	0.00	0.00
03:40	0.00	0.00	0.00	100.00	0.00	0.00
03:45	0.00	0.00	0.00	100.00	0.00	0.00
03:50	0.00	0.00	0.00	100.00	0.00	0.00
03:55	0.00	0.00	0.00	100.00	0.00	0.00
04:00	0.00	0.00	0.00	100.00	0.00	0.00
04:05	0.00	0.00	0.00	100.00	0.00	0.00
04:10	0.00	0.00	0.00	100.00	0.00	0.00
04:15	0.00	0.00	0.00	100.00	0.00	0.00
04:20	0.00	0.00	0.00	100.00	0.00	0.00
04:25	0.00	0.00	0.00	100.00	0.00	0.00
04:30	0.00	0.00	0.00	100.00	0.00	0.00
04:35	0.00	0.00	0.00	100.00	0.00	0.00
04:40	0.00	0.00	0.00	100.00	0.00	0.00
04:45	0.00	0.00	0.00	100.00	0.00	0.00
04:50	0.00	0.00	0.00	100.00	0.00	0.00
04:55	0.00	0.00	0.00	100.00	0.00	0.00
05:00	0.00	0.00	0.00	99.99	1.00	0.01
05:05	0.00	0.00	0.00	100.00	0.00	0.00
05:10	0.00	0.00	0.00	100.00	0.00	0.00
05:15	0.00	0.00	0.00	100.00	0.00	0.00
05:20	0.00	0.00	0.00	100.00	0.00	0.00
05:25	0.00	0.00	0.00	100.00	0.00	0.00
05:30	0.00	0.00	0.00	100.00	0.00	0.00
05:35	0.00	0.00	0.00	100.00	0.00	0.00
05:40	0.00	0.00	0.00	100.00	0.00	0.00
05:45	0.00	0.00	0.00	100.00	0.00	0.00
05:50	0.00	0.00	0.00	100.00	0.00	0.00
05:55	0.00	0.00	0.00	100.00	0.00	0.00
06:00	0.00	0.00	0.00	100.00	0.00	0.00
06:05	0.00	0.00	0.00	100.00	0.00	0.00
06:10	0.00	0.00	0.00	100.00	0.00	0.00
06:15	0.00	0.00	0.00	100.00	0.00	0.00
06:20	0.00	0.00	0.00	100.00	0.00	0.00
06:25	0.00	0.00	0.00	100.00	0.00	0.00
06:30	0.00	0.00	0.00	100.00	0.00	0.00
06:35	0.00	0.00	0.00	100.00	0.00	0.00
06:40	0.00	0.00	0.00	100.00	0.00	0.00
06:45	0.00	0.00	0.00	100.00	0.00	0.00
06:50	0.00	0.00	0.00	100.00	0.00	0.00
06:55	0.00	0.00	0.00	100.00	0.00	0.00
07:00	0.00	0.00	0.00	100.00	0.00	0.00
07:05	0.00	0.00	0.00	100.00	0.00	0.00
07:10	0.00	0.00	0.00	100.00	0.00	0.00
07:15	0.00	0.00	0.00	100.00	0.00	0.00
07:20	0.00	0.00	0.00	100.00	0.00	0.00
07:25	0.00	0.00	0.00	100.00	0.00	0.00
07:30	0.00	0.00	0.00	100.00	0.00	0.00
07:35	0.00	0.00	0.00	100.00	0.00	0.00
07:40	0.00	0.00	0.00	100.00	0.00	0.00
07:45	0.00	0.00	0.00	100.00	0.00	0.00
07:50	0.00	0.00	0.00	100.00	0.00	0.00
07:55	0.00	0.00	0.00	100.00	0.00	0.00
08:00	0.00	0.00	0.00	100.00	0.00	0.00
08:05	0.00	0.00	0.00	100.00	0.00	0.00
08:10	0.00	0.00	0.00	100.00	0.00	0.00
08:15	0.00	0.00	0.00	100.00	0.00	0.00
08:20	0.00	0.00	0.00	100.00	0.00	0.00
08:25	0.00	0.00	0.00	100.00	0.00	0.00
08:30	0.00	0.00	0.00	100.00	0.00	0.00
08:35	0.00	0.00	0.00	100.00	0.00	0.00
08:40	0.00	0.00	0.00	100.00	0.00	0.00
08:45	0.00	0.00	0.00	100.00	0.00	0.00
08:50	0.00	0.00	0.00	100.00	0.00	0.00
08:55	0.00	0.00	0.00	100.00	0.00	0.00
09:00	0.00	0.00	0.00	100.00	0.00	0.00
09:05	0.00	0.00	0.00	100.00	0.00	0.00
09:10	0.00	0.00	0.00	100.00	0.00	0.00
09:15	0.00	0.00	0.00	100.00	0.00	0.00
09:20	0.00	0.00	0.00	100.00	0.00	0.00
09:25	0.00	0.00	0.00	100.00	0.00	0.00
09:30	0.00	0.00	0.00	100.00	0.00	0.00
09:35	0.00	0.00	0.00	100.00	0.00	0.00
09:40	0.00	0.00	0.00	100.00	0.00	0.00
09:45	0.00	0.00	0.00	100.00	0.00	0.00
09:50	0.00	0.00	0.00	100.00	0.00	0.00
09:55	0.00	0.00	0.00	100.00	0.00	0.00
10:00	0.00	0.00	0.00	100.00	0.00	0.00
10:05	0.00	0.00	0.00	100.00	0.00	0.00
10:10	0.00	0.00	0.00	100.00	0.00	0.00
10:15	0.00	0.00	0.00	100.00	0.00	0.00
10:20	0.00	0.00	0.00	100.00	0.00	0.00
10:25	0.00	0.00	0.00	100.00	0.00	0.00
10:30	0.00	0.00	0.00	100.00	0.00	0.00
10:35	0.00	0.00	0.00	100.00	0.00	0.00
10:40	0.00	0.00	0.00	100.00	0.00	0.00
10:45	0.00	0.00	0.00	100.00	0.00	0.00
10:50	0.00	0.00	0.00	100.00	0.00	0.00
10:55	0.00	0.00	0.00	100.00	0.00	0.00
11:00	0.00	0.00	0.00	100.00	0.00	0.00
11:05	0.00	0.00	0.00	100.00	0.00	0.00
11:10	0.00	0.00	0.00	100.00	0.00	0.00
11:15	0.00	0.00	0.00	100.00	0.00	0.00
11:20	0.00	0.00	0.00	100.00	0.00	0.00
11:25	0.00	0.00	0.00	100.00	0.00	0.00
11:30	0.00	0.00	0.00	100.00	0.00	0.00
11:35	0.00	0.00	0.00	100.00	0.00	0.00
11:40	0.00	0.00	0.00	100.00	0.00	0.00
11:45	0.00	0.00	0.00	100.00	0.00	0.00
11:50	0.00	0.00	0.00	100.00	0.00	0.00
11:55	0.00	0.00	0.00	100.00	0.00	0.00
12:00	0.00	0.00	0.00	100.00	0.00	0.00
12:05	0.00	0.00	0.00	100.00	0.00	0.00
12:10	0.00	0.00	0.00	100.00	0.00	0.00
12:15	0.00	0.00	0.00	100.00	0.00	0.00
12:20	0.00	0.00	0.00	100.00	0.00	0.00
12:25	0.00	0.00	0.00	100.00	0.00	0.00
12:30	0.00	0.00	0.00	100.00	0.00	0.00
12:35	0.00	0.00	0.00	100.00	0.00	0.00
12:40	0.00	0.00	0.00	100.00	0.00	0.00
12:45	0.00	0.00	0.00	100.00	0.00	0.00
12:50	0.00	0.00	0.00	100.00	0.00	0.00
12:55	0.00	0.00	0.00	100.00	0.00	0.00
13:00	0.00	0.00	0.00	100.00	0.00	0.00
13:05	0.00	0.00	0.00	100.00	0.00	0.00
13:10	0.00	0.00	0.00	100.00	0.00	0.00
13:15	0.00	0.00	0.00	100.00	0.00	0.00
13:20	0.00	0.00	0.00	100.00	0.00	0.00
13:25	0.00	0.00	0.00	100.00	0.00	0.00
13:30	0.00	0.00	0.00	100.00	0.00	0.00
13:35	0.00	0.00	0.00	100.00	0.00	0.00
13:40	0.00	0.00	0.00	100.00	0.00	0.00
13:45	0.00	0.00	0.00	100.00	0.00	0.00
13:50	0.00	0.00	0.00	100.00	0.00	0.00
13:55	0.00	0.00	0.00	100.00	0.00	0.00
14:00	0.00	0.00	0.00	100.00	0.00	0.00
14:05	0.00	0.00	0.00	100.00	0.00	0.00
14:10	0.00	0.00	0.00	100.00	0.00	0.00
14:15	0.00	0.00	0.00	100.00	0.00	0.00
14:20	0.00	0.00	0.00	100.00	0.00	0.00
14:25	0.00	0.00	0.00	100.00	0.00	0.00
14:30	0.00	0.00	0.00	100.00	0.00	0.00
14:35	0.00	0.00	0.00	100.00	0.00	0.00
14:40	0.00	0.00	0.00	100.00	0.00	0.00
14:45	0.00	0.00	0.00	100.00	0.00	0.00
14:50	0.00	0.00	0.00	100.00	0.00	0.00
14:55	0.00	0.00	0.00	100.00	0.00	0.00
15:00	0.00	0.00	0.00	100.00	0.00	0.00
15:05	0.00	0.00	0.00	100.00	0.00	0.00
15:10	0.00	0.00	0.00	100.00	0.00	0.00
15:15	0.00	0.00	0.00	100.00	0.00	0.00
15:20	0.00	0.00	0.00	100.00	0.00	0.00
15:25	0.00	0.00	0.00	100.00	0.00	0.00
15:30	0.00	0.00	0.00	100.00	0.00	0.00
15:35	0.00	0.00	0.00	100.00	0.00	0.00
15:40	0.00	0.00	0.00	100.00	0.00	0.00
15:45	0.00	0.00	0.00	100.00	0.00	0.00
15:50	0.00	0.00	0.00	100.00	0.00	0.00
15:55	0.00	0.00	0.00	100.00	0.00	0.00
16:00	0.00	0.00	0.00	100.00	0.00	0.00
16:05	0.00	0.00	0.00	100.00	0.00	0.00
16:10	0.00	0.00	0.00	100.00	0.00	0.00
16:15	0.00	0.00	0.00	100.00	0.00	0.00
16:20	0.00	0.00	0.00	100.00	0.00	0.00
16:25	0.00	0.00	0.00	100.00	0.00	0.00
16:30	0.00	0.00	0.00	100.00	0.00	0.00
16:35	0.00	0.00	0.00	100.00	0.00	0.00
16:40	0.00	0.00	0.00	100.00	0.00	0.00
16:45	0.00	0.00	0.00	100.00	0.00	0.00
16:50	0.00	0.00	0.00	100.00	0.00	0.00
16:55	0.00	0.00	0.00	100.00	0.00	0.00
17:00	0.00	0.00	0.00	100.00	0.00	0.00
17:05	0.00	0.00	0.00	100.00	0.00	0.00
17:10	0.00	0.00	0.00	100.00	0.00	0.00
17:15	0.00	0.00	0.00	100.00	0.00	0.00
17:20	0.00	0.00	0.00	100.00	0.00	0.00
17:25	0.00	0.00	0.00	100.00	0.00	0.00
17:30	0.00	0.00	0.00	100.00	0.00	0.00
17:35	0.00	0.00	0.00	100.00	0.00	0.00
17:40	0.00	0.00	0.00	100.00	0.00	0.00
17:45	0.00	0.00	0.00	100.00	0.00	0.00
17:50	0.00	0.00	0.00	100.00	0.00	0.00
17:55	0.00	0.00	0.00	100.00	0.00	0.00
18:00	0.00	0.00	0.00	100.00	0.00	0.00
18:05	0.00	0.00	0.00	100.00	0.00	0.00
18:10	0.00	0.00	0.00	100.00	0.00	0.00
18:15	0.00	0.00	0.00	100.00	0.00	0.00
18:20	0.00	0.00	0.00	100.00	0.00	0.00
18:25	0.00	0.00	0.00	100.00	0.00	0.00
18:30	0.00	0.00	0.00	100.00	0.00	0.00
18:35	0.00	0.00	0.00	100.00	0.00	0.00
18:40	0.00	0.00	0.00	100.00	0.00	0.00
18:45	0.00	0.00	0.00	100.00	0.00	0.00
18:50	0.00	0.00	0.00	100.00	0.00	0.00
18:55	0.00	0.00	0.00	100.00	0.00	0.00
19:00	0.00	0.00	0.00	100.00	0.00	0.00
19:05	0.00	0.00	0.00	100.00	0.00	0.00
19:10	0.00	0.00	0.00	100.00	0.00	0.00
19:15	0.00	0.00	0.00	100.00	0.00	0.00
19:20	0.00	0.00	0.00	100.00	0.00	0.00
19:25	0.00	0.00	0.00	100.00	0.00	0.00
19:30	0.00	0.00	0.00	100.00	0.00	0.00
19:35	0.00	0.00	0.00	100.00	0.00	0.00
19:40	0.00	0.00	0.00	100.00	0.00	0.00
19:45	0.00	0.00	0.00	100.00	0.00	0.00
19:50	0.00	0.00	0.00	100.00	0.00	0.00
19:55	0.00	0.00	0.00	100.00	0.00	0.00
20:00	0.00	0.00	0.00	100.00	0.00	0.00
20:05	0.00	0.00	0.00	100.00	0.00	0.00
20:10	0.00	0.00	0.00	100.00	0.00	0.00
20:15	0.00	0.00	0.00	100.00	0.00	0.00
20:20	0.00	0.00	0.00	100.00	0.00	0.00
20:25	0.00	0.00	0.00	100.00	0.00	0.00
20:30	0.00	0.00	0.00	100.00	0.00	0.00
20:35	0.00	0.00	0.00	100.00	0.00	0.00
20:40	0.00	0.00	0.00	100.00	0.00	0.00
20:45	0.00	0.00	0.00	100.00	0.00	0.00
20:50	0.00	0.00	0.00	100.00	0.00	0.00
20:55	0.00	0.00	0.00	100.00	0.00	0.00
21:00	0.00	0.00	0.00	100.00	0.00	0.00
21:05	0.00	0.00	0.00	100.00	0.00	0.00
21:10	0.00	0.00	0.00	100.00	0.00	0.00
21:15	0.00	0.00	0.00	100.00	0.00	0.00
21:20	0.00	0.00	0.00	100.00	0.00	0.00
21:25	0.00	0.00	0.00	100.00	0.00	0.00
21:30	0.00	0.00	0.00	100.00	0.00	0.00
21:35	0.00	0.00	0.00	100.00	0.00	0.00
21:40	0.00	0.00	0.00	100.00	0.00	0.00
21:45	0.00	0.00	0.00	100.00	0.00	0.00
21:50	0.00	0.00	0.00	100.00	0.00	0.00
21:55	0.00	0.00	0.00	100.00	0.00	0.00
22:00	0.00	0.00	0.00	100.00	0.00	0.00
22:05	0.00	0.00	0.00	100.00	0.00	0.00
22:10	0.00	0.00	0.00	100.00	0.00	0.00
22:15	0.00	0.00	0.00	100.00	0.00	0.00
22:20	0.00	0.00	0.00	100.00	0.00	0.00
22:25	0.00	0.00	0.00	100.00	0.00	0.00
22:30	0.00	0.00	0.00	100.00	0.00	0.00
22:35	0.00	0.00	0.00	100.00	0.00	0.00
22:40	0.00	0.00	0.00	100.00	0.00	0.00
22:45	0.00	0.00	0.00	100.00	0.00	0.00
22:50	0.00	0.00	0.00	100.00	0.00	0.00
22:55	0.00	0.00	0.00	100.00	0.00	0.00
23:00	0.00	0.00	0.00	100.00	0.00	0.00
23:05	0.00	0.00	0.00	100.00	0.00	0.00
23:10	0.00	0.00	0.00	100.00	0.00	0.00
23:15	0.00	0.00	0.00	100.00	0.00	0.00
23:20	0.00	0.00	0.00	100.00	0.00	0.00
23:25	0.00	0.00	0.00	100.00	0.00	0.00
23:30	0.00	0.00	0.00	100.00	0.00	0.00
23:35	0.00	0.00	0.00	100.00	0.00	0.00
23:40	0.00	0.00	0.00	100.00	0.00	0.00
23:45	0.00	0.00	0.00	100.00	0.00	0.00
23:50	0.00	0.00	0.00	100.00	0.00	0.00
23:55	0.00	0.00	0.00	100.00	0.00	0.00
